,Date,Close,Volume,Open,High,Low,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
20,6/1/2023,272.61,25609510,265.9,274.0,265.89,8.110000000000014,-6.710000000000036,268.69428571428574,273.24142857142857,277.062380952381,4.097059340318998,7.9711943300623975
21,5/31/2023,264.72,25473690,260.0,265.0,258.45,6.550000000000011,-4.720000000000027,268.6614285714286,272.03285714285715,276.0023809523809,4.132857883561219,8.065910924850261
22,5/30/2023,262.52,23816480,265.25,268.65,261.29,7.359999999999957,2.730000000000018,268.3671428571429,270.475,275.09714285714284,4.526513427520529,8.471097415835276
23,5/26/2023,262.04,25768660,252.93,262.31,252.71,9.599999999999994,-9.110000000000014,268.14428571428573,269.1207142857143,273.99,4.828653563685744,8.590818936515857
24,5/25/2023,252.69,22371440,253.4,255.62,249.17,6.450000000000017,0.710000000000008,265.51142857142855,267.0392857142857,272.3538095238095,7.318377389766621,9.2275411005264
25,5/24/2023,249.21,17724340,245.28,249.59,244.95,4.640000000000015,-3.930000000000007,262.34285714285716,265.315,270.9604761904762,8.965228597728185,10.393289891170342
26,5/23/2023,246.74,17748120,246.81,251.61,246.65,4.960000000000008,0.06999999999999318,258.64714285714285,263.5592857142857,268.9609523809524,9.351281042876213,10.833570466269068
27,5/22/2023,248.32,27738480,245.41,253.57,245.12,8.449999999999989,-2.9099999999999966,255.17714285714288,261.93571428571425,267.21999999999997,7.660297457857333,11.082212324260803
28,5/19/2023,245.64,21733580,247.47,248.69,243.41,5.280000000000001,1.8300000000000125,252.45142857142855,260.55642857142857,265.5057142857143,7.070658688249079,11.515976541930062
29,5/18/2023,246.85,22943300,241.3,247.09,241.19,5.900000000000006,-5.549999999999983,250.2128571428571,259.29,263.7209523809524,5.699221333614041,11.35593100752274
30,5/17/2023,242.49,21193080,238.45,243.84,238.14,5.700000000000017,-4.0400000000000205,247.42000000000002,257.7821428571429,261.88714285714286,3.1635317816216713,11.534104275086486
31,5/16/2023,238.82,18163770,235.79,239.64,235.52,4.119999999999976,-3.030000000000001,245.4385714285714,255.47499999999997,259.8390476190476,3.6228967625889736,11.63399798210467
32,5/15/2023,238.86,20653230,236.92,240.26,235.33,4.929999999999978,-1.9400000000000261,243.96,253.15142857142857,258.19666666666666,3.926470000733876,12.058041023869896
33,5/12/2023,233.81,16161450,236.74,236.96,231.45,5.510000000000019,2.930000000000007,242.11285714285714,250.38000000000002,256.41047619047623,5.226750788924217,12.773830074096823
34,5/11/2023,235.79,20448990,233.05,238.21,232.3,5.909999999999997,-2.7399999999999807,240.32285714285715,247.75,254.7314285714286,4.880825457118195,13.067325390344356
35,5/10/2023,233.08,19119010,236.17,236.75,230.72,6.030000000000001,3.089999999999975,238.52857142857144,245.48999999999998,253.21380952380954,4.9089286970149235,13.658511074121511
36,5/9/2023,233.37,16865590,231.46,235.88,231.08,4.799999999999983,-1.9099999999999966,236.60285714285712,243.40785714285715,251.72761904761904,3.5588280575004836,14.052225768454408
37,5/8/2023,233.27,16400530,231.42,235.62,230.27,5.349999999999994,-1.8500000000000227,235.2857142857143,241.35285714285715,250.28333333333333,2.5915558849381073,14.326943265516483
38,5/5/2023,232.78,27000480,232.24,234.68,229.85,4.8300000000000125,-0.539999999999992,234.42285714285714,239.93071428571426,248.45761904761906,2.193655353404275,13.977532294636763
39,5/4/2023,233.52,17889390,236.06,238.2,232.93,5.269999999999982,2.539999999999992,233.66000000000003,238.80999999999997,246.6542857142857,0.9938142012781213,13.297319869593275
40,5/3/2023,237.03,34463860,239.47,241.75,232.75,9.0,2.4399999999999977,234.11999999999998,238.11642857142857,244.95999999999998,1.6216863650725046,12.031249727272483
41,5/2/2023,239.24,24350150,243.18,244.92,238.99,5.929999999999978,3.9399999999999977,234.61285714285714,237.46785714285716,243.3709523809524,2.500144757712889,10.271778767458587
42,5/1/2023,243.18,29143910,238.62,244.0,236.46,7.539999999999992,-4.560000000000002,236.0557142857143,237.29214285714286,242.3452380952381,3.9576460054882814,9.03423910412327
43,4/28/2023,240.32,39554040,239.01,240.43,235.75,4.680000000000007,-1.3100000000000023,237.04857142857142,236.82571428571433,241.28809523809525,4.042451519277595,7.765183590261724
44,4/27/2023,238.56,71196530,239.89,241.69,236.77,4.9199999999999875,1.329999999999984,237.8042857142857,236.54500000000002,240.17,3.6981430346536612,6.150242271650249
45,4/26/2023,209.4,41992730,212.5,214.11,208.88,5.230000000000018,3.0999999999999943,234.46428571428572,234.44357142857143,238.10857142857145,11.442088762026387,8.536137467094605
46,4/25/2023,207.55,19198180,210.82,211.26,207.13,4.1299999999999955,3.269999999999982,230.75428571428571,232.20714285714286,236.12476190476195,15.34419961760003,10.452875020321894
47,4/24/2023,212.79,15750920,213.68,213.92,210.71,3.2099999999999795,0.8900000000000148,227.29142857142855,230.7057142857143,234.50809523809525,16.391349780266495,11.3185553932677
48,4/21/2023,212.89,17717170,210.21,213.41,209.58,3.829999999999984,-2.6799999999999784,223.52714285714288,229.07,232.82095238095238,16.214715244992284,11.787688028091518
49,4/20/2023,213.07,16475440,213.48,216.75,212.77,3.9799999999999898,0.4099999999999966,219.22571428571428,227.64071428571427,231.27,13.970820611954876,12.153701905180702
50,4/19/2023,215.7,15898080,213.47,217.33,212.93,4.400000000000006,-2.2299999999999898,215.70857142857145,226.3785714285714,229.7866666666667,10.424112158150871,12.0576367225641
51,4/18/2023,217.89,12280980,219.91,220.44,216.21,4.22999999999999,2.0200000000000102,212.75571428571428,225.28,228.6152380952381,3.500189790771776,11.956318253980577
52,4/17/2023,218.86,15481870,219.79,220.98,217.13,3.8499999999999943,0.9299999999999784,214.10714285714286,224.28571428571428,227.66476190476192,3.8018623256045943,11.897745424678961
53,4/14/2023,221.49,21591210,217.88,222.11,217.55,4.560000000000002,-3.6100000000000136,216.09857142857143,223.4264285714286,226.83761904761906,3.427216696637196,11.68236658591109
54,4/13/2023,220.35,23310360,215.73,221.15,215.69,5.460000000000008,-4.6200000000000045,217.17857142857142,222.23499999999999,226.19666666666666,3.4019133271893836,11.649896279938556
55,4/12/2023,214.0,18972170,214.84,216.84,212.58,4.259999999999991,0.8400000000000034,217.33714285714285,220.43214285714288,225.1590476190476,3.187829534785632,11.722880578066633
56,4/11/2023,213.85,16710100,215.48,216.02,213.41,2.6100000000000136,1.6299999999999955,217.4485714285714,218.33714285714285,224.2433333333333,3.02319603825301,11.823837081646808
57,4/10/2023,214.75,16106070,214.71,215.66,210.66,5.0,-0.03999999999999204,217.31285714285715,216.51071428571427,223.35666666666665,3.1340639978870173,11.803347124156184
58,4/6/2023,216.1,26104410,209.25,216.94,208.65,8.289999999999992,-6.849999999999994,217.05714285714288,214.90642857142853,222.53904761904764,3.152098318504396,11.67631487446325
59,4/5/2023,211.48,19396630,214.15,215.19,209.94,5.25,2.670000000000016,216.00285714285715,215.055,221.52476190476187,3.644355060846608,11.66736414921849
60,4/4/2023,214.72,21026370,213.39,216.24,212.54,3.700000000000017,-1.3300000000000125,215.03571428571428,215.56714285714287,220.62952380952382,2.728777853073248,11.419580323369921
61,4/3/2023,213.07,17924610,208.84,213.49,208.2,5.2900000000000205,-4.22999999999999,213.99571428571429,215.58714285714285,219.48857142857145,1.4565124686809316,10.883404469977929
62,3/31/2023,211.94,25440270,207.24,212.17,206.77,5.399999999999977,-4.699999999999989,213.70142857142858,215.5192857142857,218.18857142857144,1.6506708592898593,10.000854606339182
63,3/30/2023,207.84,22608300,203.38,208.09,202.82,5.27000000000001,-4.460000000000008,212.84285714285713,215.1457142857143,216.50571428571433,2.7544673670575364,8.436205054067772
64,3/29/2023,205.35,18851140,203.56,205.72,202.54,3.180000000000007,-1.789999999999992,211.5,214.40642857142856,214.84047619047618,3.772828293644925,6.791492822781886
65,3/28/2023,200.68,19127300,200.15,201.03,197.9,3.1299999999999955,-0.5300000000000011,209.29714285714286,213.17714285714285,213.0366666666667,4.955632197427957,4.960153559450211
66,3/27/2023,202.84,18527180,204.81,205.86,201.36,4.5,1.9699999999999989,208.06285714285715,212.03285714285715,212.7242857142857,5.379209093926781,5.3886914658643255
67,3/24/2023,206.01,27733040,205.18,207.58,203.55,4.030000000000001,-0.8299999999999841,206.81857142857143,210.92714285714285,212.65095238095233,4.521693740813099,5.472455486124339
68,3/23/2023,204.28,27389670,202.84,207.88,202.15,5.72999999999999,-1.4399999999999977,205.56285714285715,209.7792857142857,212.24571428571429,3.6286026432844865,5.768710056353941
69,3/22/2023,199.81,28477760,202.5,207.37,199.67,7.700000000000017,2.6899999999999977,203.82999999999998,208.76571428571427,211.62285714285713,2.898516862119994,6.370420820366963
70,3/21/2023,202.16,31826950,203.2,203.55,197.95,5.600000000000023,1.039999999999992,203.01857142857145,207.9307142857143,211.10333333333332,2.327669997882326,6.683669151994799
71,3/20/2023,197.81,25186320,198.48,199.36,193.64,5.720000000000027,0.6699999999999875,201.9414285714286,206.7207142857143,210.25142857142856,2.7712898836176314,7.189476535683009
72,3/17/2023,195.61,50141100,200.56,201.9,195.43,6.469999999999999,4.949999999999989,201.21714285714285,205.2571428571429,209.1904761904762,3.672055347647171,7.635958012057073
73,3/16/2023,204.93,50819660,198.26,205.76,196.09,9.669999999999987,-6.670000000000016,201.51571428571427,204.78928571428574,208.52714285714285,3.9036643347102684,7.353804554689046
74,3/15/2023,197.75,42123550,192.95,197.78,190.84,6.939999999999998,-4.800000000000011,200.33571428571426,203.57714285714286,207.39666666666668,3.551215083801918,7.081110317833456
75,3/14/2023,194.02,41642630,187.58,194.32,186.56,7.759999999999991,-6.439999999999998,198.86999999999998,202.2164285714286,206.14285714285714,3.7629642570709603,7.003484948835523
76,3/13/2023,180.9,24727970,177.96,183.78,174.82,8.960000000000008,-2.9399999999999977,196.16857142857143,199.99928571428572,204.56666666666666,7.701868666263686,8.672575357604446
77,3/10/2023,179.51,25665030,181.01,184.77,178.8,5.969999999999999,1.5,192.93285714285713,197.97571428571428,202.9314285714286,9.347321745265699,9.974400877102228
78,3/9/2023,181.69,26582750,186.35,188.93,180.3,8.629999999999995,4.659999999999997,190.62999999999997,196.28571428571428,201.35714285714286,9.914028780806502,10.604827270095752
79,3/8/2023,184.97,19432410,182.87,185.26,181.34,3.9199999999999875,-2.0999999999999943,189.10999999999999,195.16357142857143,199.8747619047619,9.838616095094853,10.61670222764449
80,3/7/2023,184.51,36701500,189.0,190.36,184.01,6.350000000000023,4.490000000000009,186.19285714285712,193.8542857142857,198.5904761904762,6.977460651472684,10.77275381515331
81,3/6/2023,184.9,33209390,188.0,189.66,184.64,5.02000000000001,3.0999999999999943,184.35714285714286,192.34642857142856,197.1704761904762,4.771874943476904,10.502303783546749
82,3/3/2023,185.25,45877690,178.92,186.62,177.05,9.569999999999993,-6.3300000000000125,183.1042857142857,190.98714285714286,195.8457142857143,2.3474657054123877,10.14498820670983
83,3/2/2023,174.53,17360710,172.38,175.01,171.43,3.579999999999984,-2.1500000000000057,182.1942857142857,189.1814285714286,194.06428571428575,3.9984657771976186,10.45730872233778
84,3/1/2023,173.42,30998380,174.59,177.85,173.05,4.799999999999983,1.170000000000016,181.3242857142857,187.1285714285714,192.4252380952381,5.170602341257787,10.87912295134459
85,2/28/2023,174.94,46051120,171.9,177.55,171.87,5.680000000000007,-3.039999999999992,180.35999999999999,185.49499999999998,190.97714285714287,5.69396171395557,11.09448923693958
86,2/27/2023,169.54,19277000,171.88,173.12,169.06,4.060000000000002,2.3400000000000034,178.1557142857143,183.63285714285712,189.4942857142857,6.536249834940026,11.79191102893347
87,2/24/2023,170.39,19791330,168.64,170.72,167.66,3.0600000000000023,-1.75,176.13857142857142,181.1657142857143,187.94904761904763,6.426283084778143,12.078298681834974
